REF,RESTRICTION,SITE_NAME,SUMMARY,AUTHORITY,DATE_FROM,DATE_TO,LEG_NAME,LEG_DATE,LEG_LINK,MORE_INFO,UPDATED
1175,1,"Aberdeen to Mons Craig","Fishing for sea fish with mobile or active gear prohibited.","Scottish Government (Marine Scotland)","1st October","31st March","SSI 2004 No. 276 (Art 3)",2004-07-05,http://www.legislation.gov.uk/ssi/2004/276/schedule/1/made,https://marine.gov.scot/information/fishing-managed-areas,2021-07-07
2052,1,"Area A","No person shall use in fishing for sea fish or shellfish any net or any other instrument except from the beach or from a boat the overall length of which does not  exceed 17 metres and when using trawl nets, dredges or other towed fishing instruments whose total engine does not exceed 221 kilowatts.
No person shall use or cause to be used for the purpose of fishing for sea fish any parlour pot of whatever material constructed, unless it has at least one unobstructed escape gap per parlour. 
No person shall fish for or take periwinkles or winkles otherwise than by hand picking.","Kent & Essex IFCA",,,"Area A Byelaws",2010-04-01,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-a,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2027,1,"Area A - North District 3nm","A person must not use a pot from a vessel exceeding 10 meters overall length. A person must not use a pot unless the pot has at least one unobstructed escape gap (per chamber) in its exterior wall. A person must not use any pot with a size exceeding 50cm high x 60cm wide x 110cm long. ","North Eastern IFCA",,,"Byelaw XXVIII: Crustacea Conservation Byelaw 2018",2018-07-14,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
2034,1,"Area A - Staithes and Whitby","A person must not fish or place fixed nets.","North Eastern IFCA",,,"Byelaw XVIII: Method and Area of Fishing (Fixed Netting) Byelaw 2016",2016-04-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
2053,1,"Area B","No person shall dredge for scallops (Pecten maximus) during the prohibited season (1st June to 31st October in any year, both dates inclusive). 
No person shall, in fishing for sea fish with a trawl or trawls during the period beginning the first day of May and ending the last day of October both dates inclusive, fish within the area.","Kent & Essex IFCA","1st May","31st October","Area B Byelaws",2004-04-29,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-b,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2053,2,"Area B","No person shall dredge for scallops (Pecten maximus) during the prohibited season (1st June to 31st October in any year, both dates inclusive). 
No person shall, in fishing for sea fish with a trawl or trawls during the period beginning the first day of May and ending the last day of October both dates inclusive, fish within the area.","Kent & Essex IFCA","1st June","31st October","Area B Byelaws",2004-04-29,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-b,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2035,1,"Area B - Humber","A person must not fish or place fixed nets.","North Eastern IFCA",,,"Byelaw XVIII: Method and Area of Fishing (Fixed Netting) Byelaw 2016",2016-04-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
2028,1,"Area B - South District 3nm","A person must not use a pot from a vessel exceeding 10 meters overall length. A person must not use a pot unless the pot has at least one unobstructed escape gap (per chamber) in its exterior wall. A person must not use any pot with a size exceeding 50cm high x 60cm wide x 110cm long.","North Eastern IFCA",,,"Byelaw XXVIII: Crustacea Conservation Byelaw 2018",2018-07-14,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,1970-01-01
2054,1,"Area B (0-3nm)","No person shall use in fishing any fixed engine, gillnet or unattended drift net between the first day of May and the 30th day of September both days inclusive providing that any such fixed engine, net or nets with the headline at least 1.5 metres below the surface of the water at any state of the tide.","Kent & Essex IFCA","1st May","30th September","Area B Byelaws",2010-04-01,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws/byelaws-b,https://www.kentandessex-ifca.gov.uk/i-want-to-find-out-about/regulations/keifca-byelaws,2021-09-01
2036,1,"Area C - Holderness","A person must not fish or place fixed nets unless that person holds a permit.","North Eastern IFCA",,,"Byelaw XVIII: Method and Area of Fishing (Fixed Netting) Byelaw 2016",2016-04-27,http://www.ne-ifca.gov.uk/legislation-and-byelaws/byelaw-regulations/,http://www.ne-ifca.gov.uk/legislation-and-byelaws/,2021-09-01
